route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,shape_id
5,L5S1_001-LAB,Laborables,L5S1_001-LAB,ARKAIATE / ARIÑEZ ITV,0,sha-ed636cf9
5,L5S1_001-SAB,Sabados,L5S1_001-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_002-LAB,Laborables,L5S1_002-LAB,JUNDIZ ARIÑEZ / ARKAIATE,1,sha-620a1edc
5,L5S1_002-SAB,Sabados,L5S1_002-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_003-LAB,Laborables,L5S1_003-LAB,ARKAIATE / JUNDIZ ITV,0,sha-055a576e
5,L5S1_003-SAB,Sabados,L5S1_003-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_004-DOM,Domingos,L5S1_004-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_004-LAB,Laborables,L5S1_004-LAB,JUNDIZ ITV / ARKAIATE,1,sha-b732b0d6
5,L5S1_004-SAB,Sabados,L5S1_004-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_005-LAB,Laborables,L5S1_005-LAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_005-SAB,Sabados,L5S1_005-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_006-LAB,Laborables,L5S1_006-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_006-SAB,Sabados,L5S1_006-SAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_007-DOM,Domingos,L5S1_007-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_007-LAB,Laborables,L5S1_007-LAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_007-SAB,Sabados,L5S1_007-SAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_008-LAB,Laborables,L5S1_008-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
