stop_id,stop_name,stop_lat,stop_lon,stop_code,zone_id,stop_timezone,stop_url,level_id,parent_station
1176,Bº Tomás Zumarraga 71,42.851852,-2.691356,1176,1,Europe/Madrid,,,
1007,Valladolid 10,42.853359,-2.664160,1007,1,Europe/Madrid,,,
1062,Jose Atxotegi 22,42.855869,-2.688569,1062,1,Europe/Madrid,,,
1200,Arriurdina / Basaldea,42.835595,-2.730346,1200,1,Europe/Madrid,,,
1302,Paz,42.845362,-2.668195,1302,1,Europe/Madrid,,,
1387,Lermandabidea / Ortuoste,42.849822,-2.729465,1387,1,Europe/Madrid,,,
1203,Paduleta / Uzbina,42.831252,-2.738774,1203,1,Europe/Madrid,,,
1052,Hegoalde,42.836197,-2.667979,1052,1,Europe/Madrid,,,
1220,Lermandabidea 4,42.844356,-2.742692,1220,1,Europe/Madrid,,,
1346,Paula Montal / Escolapias,42.855604,-2.700490,1346,1,Europe/Madrid,,,
1228,Av. Gasteiz / Juzgados,42.843981,-2.682422,1228,1,Europe/Madrid,,,
1116,Portal Gamarra 17,42.868932,-2.659537,1116,1,Europe/Madrid,,,
1250,Heraclio Fournier 42,42.835850,-2.660731,1250,1,Europe/Madrid,,,
1377,Teresa Calcuta 8,42.847848,-2.693162,1377,1,Europe/Madrid,,,
1341,Iliada / Nadine Gordimer,42.844893,-2.644039,1341,1,Europe/Madrid,,,
1126,Plaza Gamarra,42.874486,-2.656142,1126,1,Europe/Madrid,,,
1171,Bº Tomás Zumarraga 71,42.851921,-2.691413,1171,1,Europe/Madrid,,,
1077,Zumaquera,42.835769,-2.664945,1077,1,Europe/Madrid,,,
1185,Urartea / Vitorialanda,42.858881,-2.708418,1185,1,Europe/Madrid,,,
1260,Jesús Guridi,42.844140,-2.668030,1260,1,Europe/Madrid,,,
1070,Pedro Asúa 12,42.847584,-2.690679,1070,1,Europe/Madrid,,,
1090,Portal Betoño / I.D. arte,42.861219,-2.657711,1090,1,Europe/Madrid,,,
1184,8 de marzo 24,42.854129,-2.650263,1184,1,Europe/Madrid,,,
1319,Paula Montal / Escolapias,42.855731,-2.700585,1319,1,Europe/Madrid,,,
1120,Aretxabaleta / Pueblo,42.831532,-2.672655,1120,1,Europe/Madrid,,,
1331,Iruña Veleia / Derechos Humanos,42.841604,-2.708144,1331,1,Europe/Madrid,,,
1342,Guillermo Elio,42.838989,-2.652043,1342,1,Europe/Madrid,,,
1191,Alibarra / Mayoristas,42.858506,-2.721773,1191,1,Europe/Madrid,,,
1182,Valladolid / Andalucía,42.851814,-2.659130,1182,1,Europe/Madrid,,,
1026,Av. Gasteiz 73,42.850576,-2.680936,1026,1,Europe/Madrid,,,
1119,Comandante Izarduy / Zumaquera,42.835850,-2.669401,1119,1,Europe/Madrid,,,
1204,Paduleta / Mendigorritxu,42.831132,-2.743844,1204,1,Europe/Madrid,,,
1210,Arriurdina / Basaldea,42.835534,-2.730227,1210,1,Europe/Madrid,,,
1239,Naciones Unidas 1,42.845414,-2.694801,1239,1,Europe/Madrid,,,
1267,Venta la caña,42.874210,-2.681437,1267,1,Europe/Madrid,,,
1392,Esmaltaciones,42.835405,-2.661227,1392,1,Europe/Madrid,,,
1158,Coronación ,42.852703,-2.674941,1158,1,Europe/Madrid,,,
1054,Salbatierrabide,42.837578,-2.680159,1054,1,Europe/Madrid,,,
1205,Ariñez,42.829514,-2.748318,1205,1,Europe/Madrid,,,
1193,Av. Los Huetos / Mayoristas,42.857676,-2.720773,1193,1,Europe/Madrid,,,
1391,Pedro Asúa 21,42.848780,-2.689551,1391,1,Europe/Madrid,,,
1326,Bº Tomás Zumarraga 34,42.850262,-2.681835,1326,1,Europe/Madrid,,,
1117,Portal Gamarra / Cantábrico,42.864351,-2.661015,1117,1,Europe/Madrid,,,
1217,Zurrupitieta / Jundiz,42.841259,-2.738386,1217,1,Europe/Madrid,,,
1354,Antonio Machado/Paula Montal,42.855794,-2.705069,1354,1,Europe/Madrid,,,
1281,Baiona,42.863223,-2.695877,1281,1,Europe/Madrid,,,
1242,Derechos Humanos / Reina Sofía,42.842304,-2.703002,1242,1,Europe/Madrid,,,
1360,Comandante Izarduy / Zumaquera,42.835918,-2.669393,1360,1,Europe/Madrid,,,
1389,Viveros,42.877517,-2.642891,1389,1,Europe/Madrid,,,
1071,Castillo Fontecha / Aretxaga,42.843297,-2.692194,1071,1,Europe/Madrid,,,
1306,Cementerio,42.834025,-2.616074,1306,1,Europe/Madrid,,,
